Channel,OptimalFeatureCount,OptimalAccuracy,Completed
AF3,987,93.9285714285714,1
AF4,972,95,1
F3,904,94.6428571428572,1
F4,991,95.3571428571429,1
F7,965,87.1428571428571,1
F8,1000,90.3571428571428,1
FC5,996,95,1
FC6,984,93.2142857142857,1
O1,990,93.3928571428571,1
O2,972,94.6428571428571,1
P7,NaN,NaN,0
P8,NaN,NaN,0
T7,NaN,NaN,0
T8,NaN,NaN,0
